2023-09-18 10:56:07 927:  ABC5678,计费处理
2023-09-18 10:56:07 927:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:07 928:  Return:ABC5678_No
2023-09-18 10:56:11 384:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:11 431:  ABC5678,计费处理
2023-09-18 10:56:11 431:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:11 431:  Return:ABC5678_No
2023-09-18 10:56:23 293:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:23 339:  ABC5678,计费处理
2023-09-18 10:56:23 340:  ABC5678 => RecognizeType = 8
2023-09-18 10:56:23 340:  ABC5678 => 並非無車牌
2023-09-18 10:56:23 340:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:56:23 340:  ABC5678 => 通道 : 2
2023-09-18 10:56:23 341:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:56:23 349:  ABC5678匹配到進場紀錄
2023-09-18 10:56:23 424:  ABC5678 = openFlag =>　False
2023-09-18 10:56:23 424:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:56:23 446:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:56:23_2_出口_a6a1a79340dc476fb1bb0d5b5364feec_1__8011_False_/Images/Licences/2023918/a333412078824ffbb64d37bbcff33e1c20230918105632.jpg_1_4892974923087663920_2023091810562344613
2023-09-18 10:56:23 447:  Return:ABC5678_No
2023-09-18 10:56:24 818:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:24 878:  ABC5678,计费处理
2023-09-18 10:56:24 878:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:24 879:  Return:ABC5678_No
2023-09-18 10:56:26 542:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:26 595:  ABC5678,计费处理
2023-09-18 10:56:26 595:  ABC5678 => RecognizeType = 8
2023-09-18 10:56:26 595:  ABC5678 => 並非無車牌
2023-09-18 10:56:26 596:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:56:26 596:  ABC5678 => 通道 : 2
2023-09-18 10:56:26 596:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:56:26 608:  ABC5678匹配到進場紀錄
2023-09-18 10:56:26 649:  ABC5678 = openFlag =>　False
2023-09-18 10:56:26 650:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:56:26 660:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:56:26_2_出口_6400f0a19a194f5e9221d71d09865c46_1__8011_False_/Images/Licences/2023918/9c5bd164f2794073ab6ea1cb0d9925c420230918105656.jpg_1_4892974923087663920_2023091810562666011
2023-09-18 10:56:26 661:  Return:ABC5678_No
2023-09-18 10:56:29 974:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:30 018:  ABC5678,计费处理
2023-09-18 10:56:30 019:  ABC5678 => RecognizeType = 8
2023-09-18 10:56:30 019:  ABC5678 => 並非無車牌
2023-09-18 10:56:30 019:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:56:30 019:  ABC5678 => 通道 : 2
2023-09-18 10:56:30 019:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:56:30 025:  ABC5678匹配到進場紀錄
2023-09-18 10:56:30 050:  ABC5678 = openFlag =>　False
2023-09-18 10:56:30 051:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:56:30 057:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:56:30_2_出口_5c99078a41c947249fe5ac1393edfe84_1__8011_False_/Images/Licences/2023918/8f397ce08ffb4590ada68ff4a2c730ce20230918105600.jpg_1_4892974923087663920_2023091810563005760
2023-09-18 10:56:30 058:  Return:ABC5678_No
2023-09-18 10:56:34 763:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:34 813:  ABC5678,计费处理
2023-09-18 10:56:34 813:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:34 814:  Return:ABC5678_No
2023-09-18 10:56:39 902:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:39 949:  ABC5678,计费处理
2023-09-18 10:56:39 949:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:39 949:  Return:ABC5678_No
2023-09-18 10:56:47 537:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:47 592:  ABC5678,计费处理
2023-09-18 10:56:47 592:  ABC5678 => RecognizeType = 8
